健喬,4114,37.30,"2024-09-20 15:30:34"
溫士頓無價格,1103,17.45,"2024-09-20 15:30:36"
聯華,1229,61.4,"2024-09-20 15:30:39"
聯華食,1231,109.5,"2024-09-20 15:30:40"
卜蜂,1215,98.1,"2024-09-20 15:30:42"
大成,1210,51.2,"2024-09-20 15:30:43"
南僑,1702,54.3,"2024-09-20 15:30:46"
茂生,1240,53.1,"2024-09-20 15:30:48"
黑松,1234,41.80,"2024-09-20 15:30:49"
中華食,1234,90.4,"2024-09-20 15:30:49"
中華食無價格,1234,90.4,"2024-09-20 15:30:49"
中華食無價格,1234,90.4,"2024-09-20 15:30:49"
統一,1216,88.1,"2024-09-20 15:30:56"
興農,1712,43.25,"2024-09-20 15:30:57"
德記,5902,39.75,"2024-09-20 15:30:59"
三商餐飲無價格,1103,17.45,"2024-09-20 15:31:00"
佳格,1227,38.55,"2024-09-20 15:31:01"
大統益,1232,147.5,"2024-09-20 15:31:03"
