健喬,4114,37.75,"2024-08-17 21:14:10"
溫士頓無價格,1103,17.75,"2024-08-17 21:14:13"
聯華,1229,61.3,"2024-08-17 21:14:15"
聯華食,1231,114.0,"2024-08-17 21:14:17"
卜蜂,1215,98.8,"2024-08-17 21:14:18"
大成,1210,52.0,"2024-08-17 21:14:21"
南僑,1702,55.6,"2024-08-17 21:14:23"
茂生,1240,54.0,"2024-08-17 21:14:24"
黑松,1234,42.70,"2024-08-17 21:14:26"
中華食,4205,90.8,"2024-08-17 21:14:28"
中華食無價格,4205,90.8,"2024-08-17 21:14:29"
中華食無價格,4205,90.8,"2024-08-17 21:14:30"
統一,1216,81.2,"2024-08-17 21:14:33"
興農,1712,42.55,"2024-08-17 21:14:35"
德記,5902,40.85,"2024-08-17 21:14:36"
三商餐飲無價格,1103,17.75,"2024-08-17 21:14:37"
佳格,1227,38.35,"2024-08-17 21:14:39"
大統益,1232,147.0,"2024-08-17 21:14:41"
